వదంతులతో	గుండె	ఆగి
వ్యసనాలపై	సర్వే	నిర్వహించండి
చెల్లింపుదారులకు	కళ్ళు	చెదిరేలా
కళ్ళు	చెదిరేలా	ప్రభుత్వ
తలుపు	తట్టనున్న	విపక్షం
అగస్టాపై	సోనియా	స్పందించాల్సిందే
దుకాణాలపై	కోరడా	ఝులిపించిన
కోరడా	ఝులిపించిన	సుప్రీంకోర్టు
కావేరి	ఆసుపత్రిలో	చేరినట్లు
ఆసుపత్రిలో	చేరినట్లు	సమాచారం
నోట్లరద్దుతో	మోడీ	దేశాన్ని
పుట్	బాల్	చేసారు
పెద్ధనోట్లరద్దు	కేసు	రాజ్యాంగ
ప్రతిపక్షాల	తీరుని	ఎండగట్టిన
అభ్యంతరం	వ్యక్తం	చేసిన
ఆస్తుల	జాబితా	ఇవ్వండి
అమ్మ	లేని	రాజకీయం
పెనుమార్పులుకి	అవకాశం	ఉందంటున్న
చర్యలు	చేపట్టిన	ఎక్సైజేశాఖ
రాబోయే	రోజుల్లో	భారీ
రోజుల్లో	భారీ	మార్పులుంటాయి
అడుగంటుతున్న	తుంగభద్ర	నది
పౌల్ట్రీ	పరిశ్రమను	ఆదుకోండి
మారితే	వర్ధా	తుఫానుగా
మెరీనా	బీచ్లో	ముగిసిన
బీచ్లో	ముగిసిన	జయ
ముగిసిన	జయ	అంత్యక్రియలు
జియోకి	షాక్	ఇచ్చిన
షాక్	ఇచ్చిన	బిఎస్ఎన్ఎల్
నోట్లరద్దుతో	దౌత్య	కార్యాలయ
అంబెద్కర్	వర్ధంతిని	నిర్వహించారు
నోట్లరద్దుతో	ప్రభుత్వ	ఆదాయం
ప్రభుత్వ	ఆదాయం	తగ్గిందని
జయలలిత	పార్ధివదేహాన్ని	చూసి
హాల్	రోదనలతో	దద్దరిల్లింది
జయలలిత	అంతిమయాత్ర	చూస్తూ
అండమాన్	దీవుల్లో	చిక్కుకున్న
సంభవించిన	పెను	భూకంపం
ఉభయసభల్లో	నెలకొన్న	గందరగోల
నెలకొన్న	గందరగోల	పరిస్థితులు
ఆగ్రహం	వ్యక్తం	చేసిన
ఆలయాలని	స్వాధీనం	చేసిన
నిర్ణయం	వెనక్కితిస్కోబోమని	స్పష్టం
బంగారంపై	ఆంక్షలు	విధిస్తే
ఉద్యమిస్తామని	ఏపి	మహిళా
సస్పెన్షన్	వేటు	వేస్తూ
సైన్యం	స్వాధీనం	చేసుకుంది
ఆవేదన	వ్యక్తం	చేసారు
పాటిస్తూ	ప్రతిపక్ష	ఎంపీలు
రిబ్బన్లు	ధరించి	నిరసన
లీలావతి	ఆసుపత్రిలో	చేరిన
ఆసుపత్రిలో	చేరిన	నటుడు
జైలులో	సెంట్రీని	చంపి
సెంట్రీని	చంపి	పరార్
కనుమరుగు	చేసేందుకు	ప్రభుత్వం
చేసేందుకు	ప్రభుత్వం	కుట్ర
తీరం	వెంబడి	ఈదురుగాలులు
ఈదురుగాలులు	వీచే	అవకాశం
ప్రాణం	తీసిన	ట్రాన్స్ఫార్మర్
విత్తన	సంస్థలపై	కఠిన
సంస్థలపై	కఠిన	చర్యలు
పెరిగిన	పెట్రో	ధరలు
నదిలో	పడిన	బస్సు
ఉప్పొంగిన	పాతాళ	గంగ
నెత్తురోడిన	రాజధాని	రహదారులు
తగ్గిన	దిగ్గజ	ఐటి
నోట్లరద్దు	ఆకస్మిక	నిర్ణయంతో
నిర్ణయంతో	సామాన్యుల	ఇక్కట్లు
పెళ్లి	సామాన్లు	కొనలేక
దరఖాస్తు	చేసుకొని	విద్యార్థులు
ప్రచారం	చేయని	ప్రభుత్వ
చేయని	ప్రభుత్వ	శాఖలు
బ్యాంకుల	నెత్తిన	నోట్లరద్దు
నెత్తిన	నోట్లరద్దు	బండ
బండ	పెరుగుతున్న	వ్యయాలు
చిత్రాల	ప్రదర్శనపై	నిషేధం
పేల్లుల్లలో	దోషులకు	ఉరిశిక్ష
గ్యాస్	రాయితీ	ఉండదు
పేదల	రక్తం	తాగుతున్నారు
బజార్లో	చెత్త	వేస్తే
అవినీతిని	అడ్డుకుంటే	విపక్షాలు
అడ్డుకుంటే	విపక్షాలు	పార్లమెంట్
మోడీపై	మండిపడ్డ	మమత
మండిపడ్డ	మమత	బెనర్జీ
మించిన	డిపాజిట్లు	ఒకసారే
నెంబరు	తప్పనిసరి	చేసింది
నగదురహితం	అలవాటు	చేసుకోవాల్సిందే
ఆగ్రహం	వ్యక్తం	చేసారు
మచిలీపట్టణం	తీరాన్ని	తాకోచ్చని
జాలర్లు	వేటకు	వెళ్లరాదని
వేటకు	వెళ్లరాదని	రాష్ట్ర
వెళ్లరాదని	రాష్ట్ర	ప్రభుత్వం
రాష్ట్ర	ప్రభుత్వం	హెచ్చరించింది
సుంకం	రద్దుపై	అట్టుడికిన
రద్దుపై	అట్టుడికిన	రాజ్యసభ
హాళ్ళలో	తలుపులు	వేస్తె
మృతిపై	అనుమానం	ఉన్నదని
వివిఐపి	హెలికాప్టర్ల	కేసులో
చీఫ్	త్యాగి	అరెస్ట్
తేలితే	టిటిడి	పదవి
అధిపతి	త్యాగి	అరెస్ట్
దేశ	జిడిపీ	దెబ్బతింటుందని
జిడిపీ	దెబ్బతింటుందని	మాజీ
దెబ్బతింటుందని	మాజీ	ప్రధాని
ప్రధాని	మన్మోహన్	మండిపడ్డారు
స్వాదీనం	చేసుకునట్లు	ఐటి
శాతం	ముస్లింలలో	వెనకబడినవారే
విధానాన్ని	అనుమతించబోనని	డోనాల్డ్
అనుమతించబోనని	డోనాల్డ్	ట్రంప్
డోనాల్డ్	ట్రంప్	పునరుద్ఘాటించారు
కేసులో	అరెస్ట్	అయిన
బిజెపి	సమాధానం	ఇవ్వాలి
కావేరి	ఆసుపత్రి	వర్గాల
ఆసుపత్రి	వర్గాల	వెల్లడి
కాలు	విరిగిన	మావటి
ప్రతిపక్షాలపై	ఎదురుదాడికి	దిగారు
ఉద్యోగ	అవకాశాలు	పడిపోయినట్లు
అవకాశాలు	పడిపోయినట్లు	శిక్షణ
జయలలిత	మృతి	తట్టుకోలేక
మృతిచెందినట్టు	అన్నాడిఎంకె	పార్టీ
పనిభారం	పెరిగిందని	ఐటి
పెరిగిందని	ఐటి	సంఘాలు
సిబిఐ	సోదాలో	బయటపడింది
ఆస్తులు	వేలం	వేయబోతునట్లు
వేలం	వేయబోతునట్లు	ప్రకటన
జయలలిత	ఓటమి	పాలయ్యారని
ఓటమి	పాలయ్యారని	జయ
పాలయ్యారని	జయ	సంస్మరణ
ఆంక్షల	చట్టాన్ని	నిరసిస్తూ
చట్టాన్ని	నిరసిస్తూ	పోలాండ్
నిరసిస్తూ	పోలాండ్	పార్లమెంట్
పోలాండ్	పార్లమెంట్	ముట్టడి
పన్ను	మినహాయింపు	లేదు
పెరిగిన	చలి	తీవ్రత
క్షీణించిన	కరుణానిధి	ఆరోగ్యం
కృత్రిమ	శ్వాసను	అందిస్తున్న
అసంతృప్తి	వ్యక్తం	చేసిన
ఇందిరా	చేయలేని	పనిని
విచారణ	వ్యక్తం	చేసారు
గదులకే	పరిమితం	కాకూడదని
తీవ్రవాదాన్ని	ఆపకపోతే	పాకిస్తాన్
ఆపకపోతే	పాకిస్తాన్	ని
ముక్కలు	చేస్తామని	కేంద్ర
డిశ్చార్జ్	అయిన	కరుణానిధి
ఉడికి	ఉడకని	చికెన్
చికెన్	తింటే	పక్షవాతం
పక్షవాతం	వచ్చే	ముప్పు
ఏడుగురు	మృతి	చెందారు
లోతట్టు	ప్రాంతాలు	జలమయమయ్యాయి
మోడీ	బండారం	బయటపెట్టే
బండారం	బయటపెట్టే	దమ్ము
రాహుల్	గాంధీకి	లేదు
మరణంపై	విచారణ	జరపాలని
స్టాలిన్	డిమాండ్	చేసారు
శాతం	పన్ను	విధించిన
పన్ను	విధించిన	ప్రభుత్వం
ఆత్మహత్యను	రాజకీయం	చేసారు
సభలో	నెలకొన్న	పరిస్థితులు
పరిస్థితులు	చూస్తుంటే	రాజీనామా
మోడీ	అవినీతిపై	తిరుగులేని
అవినీతిపై	తిరుగులేని	బుల్లెట్
తిరుగులేని	బుల్లెట్	ప్రూఫ్
బుల్లెట్	ప్రూఫ్	సాక్ష్యాలున్నాయని
అధికారులు	గడ్డం	పెంచరాదని
గడ్డం	పెంచరాదని	సుప్రీమ్
పెంచరాదని	సుప్రీమ్	కోర్ట్
వల్లభభాయిపటేల్	వర్ధంతిని	పురస్కరించుకొని
వర్ధంతిని	పురస్కరించుకొని	మోడీ
పురస్కరించుకొని	మోడీ	నివాళి
మోడీ	నివాళి	అర్పించారు
ప్రజల్లో	భయాందోళనలు	సృష్టించేందుకు
భయాందోళనలు	సృష్టించేందుకు	కుట్రలు
నల్లజెండాలతో	నోట్లరద్దుపై	నిరసన
థామస్	షెల్లింగ్	కన్నుమూసారు
అసహనం	వ్యక్తం	చేసారు
మోడీ	నోట్లరద్దు	నిర్ణయాన్ని
విజయానికి	రష్యా	సహకరించిందన్న
రష్యా	సహకరించిందన్న	వార్తలు
వార్తలు	అవాస్తవమని	ట్రంప్
అవాస్తవమని	ట్రంప్	స్పష్టం
శాఖ	స్వాధీనం	చేసుకుంది
నోటును	రద్దు	చేస్తునట్టు
రద్దు	చేస్తునట్టు	దేశాధ్యక్షుడు
తక్షణం	తొలగించాలని	సిపీఐ
తొలగించాలని	సిపీఐ	కార్యదర్శి
పివి	రాజేశ్వరరావు	కన్నుమూత
నిలబడనందుకు	పోలీసులు	అదుపులోకి
పోలీసులు	అదుపులోకి	తీసుకోని
అదుపులోకి	తీసుకోని	బెయిల్
కనిపించే	లుకేమియా	కేన్సర్ను
సిబిఐ	అరెస్ట్	చేసింది
అవినీతి	భాగోతం	బయటపెడతానని
సంచలనాత్మక	ప్రకటన	చేసారు
మేతి	రాజీనామా	చేసారు
నోటును	రద్దు	చేసేందుకు
కాన్సస్	ఘటన	దురదృష్టకరమని
కేసులో	పూర్తిస్థాయి	విచారణ
విచారణ	జరుగుతోందని	కాన్సస్
విదేశీయులపై	విద్వేషదాడులు	జరుగుతున్న
విద్వేషదాడులు	జరుగుతున్న	నేపథ్యంలో
జనంపైకి	దూసుకెళ్లిన	కారు
మరణించడంతో	చెన్నైకి	ఆర్టీసి
నిర్లక్ష్యం	చేయొద్దు	సిఎం
నింగికేగిన	అమ్మ	తమిళనాట
అమ్మ	తమిళనాట	తీరని
బీచ్లో	ముగిసిన	జయలలిత
ముగిసిన	జయలలిత	అంత్యక్రియలు
ప్రభుత్వ	ఆదాయం	తగ్గింది
పార్ధివదేహాన్ని	చూసి	రోదనలతో
మృతి	నేపధ్యంలో	ప్రకటించిన
పాకిస్తానులో	కూలిన	విమానం
వేసవిలో	నీటికి	కటకటే
కోడిగుడ్లు	విసిరికొట్టిన	జాతి
దాడి	జరుగుతుందన్న	ఆందోళనలో
జరుగుతుందన్న	ఆందోళనలో	యజమాని
ఉగ్రవాదులను	అరెస్టు	చేసింది
జరిగిన	బాంబు	దాడి
ఉగ్రవాదులను	అరెస్టు	చేసిందని
అరెస్టు	చేసిందని	పాక్
ఉగ్రవాదులు	దాడులు	చేయడంతో
దాడులు	చేయడంతో	దాదాపు
పౌరులు	చనిపోయిన	విషయం
చోట్ల	దాడులు	నిర్వహించామని
అనుమానితులను	అరెస్టు	చేసినట్లు
మాల్స్	వేటిని	విడిచిపెట్టకుండా
వేటిని	విడిచిపెట్టకుండా	సోదాలు
పన్నులు	కడుతుంటే	విదేశీయులు
సొంత	దేశానికి	వెళ్లిపోండి
విద్వేష	వ్యాఖ్యలు	చేస్తున్నారని
డోనాల్డ్	ట్రంప్	విధించిన
ట్రంప్	విధానాలతో	అగౌరవపడిన
విధానాలతో	అగౌరవపడిన	ప్రజలకు
యుద్ధ	కాంక్షతో	కూడిన
కాంక్షతో	కూడిన	దాడి
కూడిన	దాడి	లాంటిదేనని
అపార్టుమెంటులో	దాడి	జరిగిన
విద్వేష	దాడులు	జరుగుతున్నాయి
ఇంటిపై	దాడి	చేసి
ఘటనకు	సంబంధించిన	వివరాలు
ఇంటిపై	దాడి	చేసిన
దాడి	చేసిన	గుర్తు
గుర్తు	తెలియని	వ్యక్తులు
కుక్కల	అశుద్ధం	పూయడం
దాడి	జరుగుతుందోనన్న	ఆందోళనను
మొత్తంలో	పోస్టర్లు	అతికించడం
కోడిగుడ్లతో	కొట్టడం	లాంటివి
ఒకరిద్దరి	పని	కాదని
మృతుని	కుటుంబానికి	కావల్సిన
నిరసన	వ్యక్తం	చేసిందని
అవసరం	లేదని	దత్తాత్రేయ
వెళ్లిన	దత్తాత్రేయ	సంఘటన
సంఘటన	వివరాలను	అడిగి
కాన్సస్	ఘటనను	ఖండించిన
ఇంజనీర్లపై	జరిగిన	కాల్పుల
జరిగిన	కాల్పుల	ఘటనను
సమాజం	ముక్తకంఠంతో	ఖండించింది
కాన్సస్	దుర్ఘటనకు	సంబంధించి
దుర్ఘటనకు	సంబంధించి	విచారణ
సంబంధించి	విచారణ	సంస్థలు
సంస్థలు	విచారణ	జరిపి
వివరాల	ప్రకారం	విద్వేషపూరితంగానే
కాన్సస్	ఘటనపై	పూర్తిస్థాయి
ఘటనపై	పూర్తిస్థాయి	విచారణ
విచారణ	జరగాలని	బాధితులకు
చూసే	ఆలోచనలను	కూకటివేళ్లతో
ఆలోచనలను	కూకటివేళ్లతో	పెకిలించి
సమూహంపై	కారు	దూసుకుపోవడంతో
ఘటనకు	కారణమయ్యాడనే	కారణంతో
అనుమానితుడిని	అదుపులోకి	తీసున్నారు
ట్రంప్	నిషేధం	విధించిన
ఉద్యోగానికి	రాజీనామా	చేశానని
రాజీనామా	చేశానని	బంగ్లాదేశ్
తరచూ	నోరు	పారేసుకుంటున్న
వైఖరిని	మరోసారి	ప్రదర్శించారు
విందుకు	డుమ్మాకొట్టిన	అధ్యక్షుడు
విందుకు	హాజరు	కాలేదు
కోలుకునే	క్రమంలో	విందులో
క్రమంలో	విందులో	పాల్గొనలేకపోయారు
అసంతృప్తి	వ్యక్తం	చేస్తున్నారు
అసంతృప్తి	వ్యక్తం	చేశారు
భవిష్యత్తులో	తలెత్తే	సమస్యలను
ఇలాంటివి	వందేం	ఖర్మ
భవిష్యత్తులో	ఎదురయ్యే	సమస్యలపై
మారుతున్న	ఉపగ్రహాల	సంఖ్య
ఉపగ్రహాల	సంఖ్య	పెరిగిపోతే
ఉపగ్రహాలను	సైతం	ఢీకొట్టే
సైతం	ఢీకొట్టే	అవకాశం
రూపాయలు	ఖర్చు	చేసి
డబ్బు	వస్తుందనే	ఆశతో
వస్తుందనే	ఆశతో	ఇతరుల
ప్రాణాలు	కోల్పోయాడని	మలేషియా
కోల్పోయాడని	మలేషియా	ప్రభుత్వం
సంభవించిన	కిమ్	సోదరుడు
నామ్	మృత్యువాత	పడ్డారని
మహిళలు	విషప్రయోగం	చేయడంతో
ఆస్పత్రికి	తీసుకెళ్లే	క్రమంలో
వివరాల్లో	మలేషియాలో	నిషేధించిన
మలేషియాలో	నిషేధించిన	పవర్
నిషేధించిన	పవర్	ఫుల్
నామ్	చనిపోయారని	తెలిసింది
ఉత్తర	కొరియా	మండిపడిన
కొరియా	మండిపడిన	విషయం
వైరుధ్యాలు	తీసుకొస్తున్న	నేపథ్యంలో
మోతాదుకు	మించిన	వీఎక్స్
మించిన	వీఎక్స్	విషం
వీఎక్స్	విషం	ఇవ్వడం
గుండెపై	ప్రభావం	చూపి
శరీరంపై	ప్రభావం	చూపి
చేస్తున్న	అసాంఘిక	కార్యకలాపాలను
ఘటన	మెక్సికోలోని	ఆక్సాకా
సమయం	గడిపిన	జంట
శృంగారంలో	పాల్గొంటూ	రెడ్
జంట	చేసిన	పాడుపనిపై
చేసిన	పాడుపనిపై	నెటిజన్ల
ట్రంప్	తీరుతో	ముప్పేనని
వచ్చేశానని	మహిళా	ఉద్యోగి
అధికారం	చేపట్టగానే	ఒబామా
ఒబామా	కేర్	రద్దుచేసిన
కేర్	రద్దుచేసిన	ట్రంప్
నిరుద్యోగుల	కడుపు	కొడుతున్న
కడుపు	కొడుతున్న	హెచ్
వీసాల	జారీ	నిలిపివేశారు
ప్రభుత్వంలో	పనిచేయడం	కష్టమేనని
భావించి	ఉద్యోగానికి	రాజీనామా
జాబ్	మానేస్తున్నానని	ఉన్నతాధికారులకు
జాబ్	ఒక్కటే	మానేస్తున్నావా
ఒక్కటే	మానేస్తున్నావా	దేశం
ముస్లింలను	దేశంలోకి	రాకుండా
చర్యలు	తీసుకుంటున్న	ట్రంప్
శ్వేతజాతి	దుండగుడు	జరిపిన
దుండగుడు	జరిపిన	కాల్పుల్లో
జరిపిన	కాల్పుల్లో	ప్రాణాలు
కాల్పుల్లో	ప్రాణాలు	కోల్పోయిన
దాడులు	జరుగుతుండటం	పట్ల
ప్రస్తుతం	జరిగిన	ఘటనపై
విధానాలపై	వివరణ	ఇవ్వాలంటూ
ఇంజనీర్లపై	దాడులు	జరుగుతున్నాయి
లైన్	పిటిషన్	వేసి
పిటిషన్	వేసి	సంతకాల
దురహంకారి	కాల్పులు	జరపడంతో
అలోక్	మాదసాని	గాయపడ్డాడు
నేపథ్యంలో	కాల్పులు	జరిపే
కాల్పులు	జరిపే	వ్యక్తి
కాల్పులు	జరపడం	ముమ్మాటికి
జరపడం	ముమ్మాటికి	జాతి
కోణంలోనే	దర్యాప్తు	చేయాలని
ప్రభుత్వం	తీసుకుంటే	బాధితుల
తీసుకుంటే	బాధితుల	కుటుంబాలకు
కుటుంబాలకు	న్యాయం	జరగనట్లేనని
తలలో	బుల్లెట్లు	దించండి
తుపాకి	పెట్టి	వలసదారులను
అక్రమ	వలసదారులను	తిరిగి
హల్	చల్	చేశాయి
ఉద్యోగానికి	రాజీనామా	చేసింది
తగని	వ్యాఖ్యలు	స్కూల్
ట్రంప్	విపరీతపోకడలపై	స్పందించే
జాతి	వివక్షకు	బలైపోయిన
దాస్	ట్విట్టరులో	మండిపడ్డారు
ట్రంప్	అవలంభిస్తున్న	విద్వేషపూరిత
అవలంభిస్తున్న	విద్వేషపూరిత	విధానాల
ట్వీట్లను	ఉటంకిస్తూ	విద్వేషపూరిత
ఉటంకిస్తూ	విద్వేషపూరిత	ప్రసంగం
భాష	ప్రభావం	చూపుతుంది
ఆక్షనుకు	పెట్టాలనుకుంటే	రూల్స్
అండ్	సైన్సెసుకు	చెల్లించాల్సి
డాలర్లు	ఖర్చు	చేశారు
శ్వేత	జాతి	ఉన్మాది
జాతి	ఉన్మాది	భారతీయులపై
భారతీయులపై	జరిపిన	కాల్పులతో
అయిష్టంగానే	పిల్లల్ని	విదేశాలకు
ఉద్యోగాలు	కొల్లగొడుతున్నారన్న	ఆక్రోశంతో
కొల్లగొడుతున్నారన్న	ఆక్రోశంతో	ఆడమ్
భారతీయులపై	కాల్పులకు	తెగబడ్డాడు
క్రమంలోనే	ఘటనలు	జరుగుతున్నట్టు
భారతీయులకు	సురక్షితం	కాదని
సురక్షితం	కాదని	భయాందోళనలు
గాయపడిన	అలోక్	తండ్రి
కఠినతరంతో	భయాందోళనలు	చెలరేగితే
పెంచుతూ	జాతి	విద్వేషపూరిత
విద్వేషపూరిత	ఘటనలు	చోటుచేసుకుంటున్నాయి
పట్టన్నట్టు	ట్రంప్	వ్యాఖ్యలు
ట్రంప్	వ్యాఖ్యలు	చేయడం
ఒకింత	ఆశ్చర్యానికి	గురిచేస్తోంది
అత్యధిక	భాగం	తనదేనని
సముద్రతీర	దేశాలు	విరుచుకుపడ్డాయి
దేశాలతో	విభేదాలు	ఉన్న
విభేదాలు	ఉన్న	ప్రాంతంలో
ఆఫ్	అకోస్టిక్స్	నిరాకరించింది
పలుదేశాల	వ్యతిరేకత	తీవ్రమయ్యే
వ్యతిరేకత	తీవ్రమయ్యే	అవకాశాలు
నలుగురు	దుర్మరణం	చెందారు
విమానం	కూలిపోయిన	విమానం
కూలిపోయిన	విమానం	మంటల్లో
విమానం	మంటల్లో	చిక్కుకోవడంతో
పొగ	వ్యాపించిందనీ	ప్రత్యక్షసాక్షులు
నివాసం	ప్రాంతంపై	కూలిపోయిందని
ప్రాంతంపై	కూలిపోయిందని	ఫెడరల్
గృహాలు	మంటల్లో	చిక్కుకున్నాయని
మంటల్లో	చిక్కుకున్నాయని	ఫైర్
చిక్కుకున్నాయని	ఫైర్	చీఫ్
అయిదుగురితో	బయలుదేరిన	విమానం
నివాసప్రాంతాల్లోకి	దూసుకొచ్చి	కుప్పకూలడంతో
దూసుకొచ్చి	కుప్పకూలడంతో	మంటలు
కుప్పకూలడంతో	మంటలు	వ్యాపించాయి
తీసుకురానున్న	చార్జీల	బాదుడు
చార్జీలు	వేయొద్దని	ప్రైవేటు
వేయొద్దని	ప్రైవేటు	బ్యాంకులతో
ప్రభుత్వం	జోక్యం	చేసుకోవడంతో
జోక్యం	చేసుకోవడంతో	బ్యాంకులు
బ్యాలన్స్	లేని	ఖాతాలపై
లేని	ఖాతాలపై	జరిమానా
ఛార్జీలు	బాదుడుకు	సిద్ధమయ్యాయి
నిర్దేశించిన	మొత్తంకంటే	నగదు
ఛార్జీలు	చెల్లించాల్సిన	పరిస్థితి
వడ్డింపు	వేస్తున్నట్టు	బ్యాంకులు
రూపాయలకు	మించి	సర్వీసుట్యాక్స్
మించి	నగదు	డిపాజిట్
సర్వీసుట్యాక్స్	విధింపు	ఉంటుంది
నగదునిల్వ	నిర్వహణలో	విఫలమైతే
నిర్వహణలో	విఫలమైతే	సేవింగ్స్
విఫలమైతే	సేవింగ్స్	ఖాతాదారులకు
పాటు	సర్వీసుట్యాక్స్	విధిస్తారు
రూపాయలు	ప్లస్	సర్వీసుట్యాక్సుని
ప్లస్	సర్వీసుట్యాక్సుని	బ్యాంకు
ప్లస్	సర్వీసుట్యాక్స్	ఉంటుంది
సర్వీసు	ట్యాక్స్	విధిస్తారు
రూపాయల	ఛార్జీ	వేస్తుంది
ఎక్కువసార్లు	డ్రా	చేస్తే
ఛార్జీని	బ్యాంకు	విధించనుంది
డ్రా	చేసుకునేందుకు	ఛార్జీలమోత
బ్యాలెన్స్	లక్షకు	మించి
చార్జీలు	వసూలు	చేస్తుంది
రూపాయలు	లెవీ	వేస్తుంది
రూపాయల	ఛార్జీ	విధిస్తారు
పరిమితికి	మించితే	విత్తుడ్రా
రూపాయలు	వసూలు	చేస్తుంది
రూపాయల	ఛార్జీ	వేస్తోంది
రూపాయల	ఛార్జీ	ఉంటుంది
అనుమానాలు	వస్తున్న	నేపథ్యంలో
జయలలిత	ఆస్పత్రి	పాలవ్వడం
అనుమానాలు	వ్యక్తమవుతున్న	నేపథ్యంలో
ఘోర	రోడ్డుప్రమాదం	జరిగింది
ఆసుపత్రికి	తరలించామని	పోలీసులు
వివరాలు	తేలియలేదని	బుర్హాన్
తేలియలేదని	బుర్హాన్	పూర్
విషయంలో	సుప్రీంకోర్టుకు	అబద్ధపు
సుప్రీంకోర్టుకు	అబద్ధపు	సాక్ష్యాన్ని
అబద్ధపు	సాక్ష్యాన్ని	చెప్పడంతో
అత్యున్నత	న్యాయస్థానం	వేటువేసిన
న్యాయస్థానం	వేటువేసిన	సంగతి
సిఫారసుల	అమలును	అడ్డుకుంటున్నారనే
అమలును	అడ్డుకుంటున్నారనే	ఆరోపణలపై
కోర్టుధిక్కరణ	చర్యలు	చేపట్టిన
తెలుపాలంటూ	షోకాజ్	నోటీసులు
షోకాజ్	నోటీసులు	జారీచేసింది
యువకుడి	ప్రాణం	తీసింది
యువకుడు	ప్రాణాలు	కోల్పోయాడు
సమన్లు	జారీ	చేసింది
కోర్టులో	హాజరుకావాలని	ఆదేశించింది
కేజ్రివాల్	తప్పడు	ఆరోపణలు
ఆరోపణలు	చేశారంటూ	రాజ్యసభ
కేసు	దాఖలు	చేసిన
పరువుకు	భంగం	కల్గిందని
భంగం	కల్గిందని	భారతపీనల్
పరువునష్టం	కేసు	పెట్టారు
విచారించిన	కోర్టు	కేజ్రివాల్
బిల్లులు	కట్టకపోతే	పోటీకి
కట్టకపోతే	పోటీకి	అనర్హులు
పౌరసేవల	బకాయిలను	చెల్లించని
ఎన్నికల	నేరాలకు	సంబంధించిన
పౌరసేవల	బిల్లులను	చెల్లించకపోతే
బిల్లులను	చెల్లించకపోతే	పోటీకి
చెల్లించకపోతే	పోటీకి	అనర్హులనే
జైట్లీని	క్రాస్ఎగ్జామిన్	చేసిన
క్రాస్ఎగ్జామిన్	చేసిన	జెఠ్మలానీ
క్రాస్	ఎగ్జామిన్	చేశారు
పరువునష్టం	దావా	వేశారు
జెఠ్మలానీ	క్రాస్ఎగ్జామిన్	చేశారు
ప్రతిష్టకు	భంగం	కలిగించారని
భంగం	కలిగించారని	జైట్లీ
ఒత్తిడికి	గురిచేశారని	వెల్లడించారు
